Posisi,Perusahaan,Lokasi,Gaji,Waktu,min_Gajian,max_Gajian,avg_Gajian,Nama_Perusahaan,kota_Kerja,Time
Business Analyst,PT Petra Sejahtera Abadi,Tangerang Selatan,Gaji tidak disebutkan,2 hari yang lalu,,,,PT Petra Sejahtera Abadi,Tangerang Selatan,2 hari yang lalu
PT. Dirgaputra Ekapratama,PT. Dirgaputra Ekapratama,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu,,,,PT. Dirgaputra Ekapratama,Jakarta Raya,2 hari yang lalu
Suppy Chain Internship (Data Administration),PT Tiara agung Pratama,Bogor,Gaji tidak disebutkan,2 hari yang lalu,,,,PT Tiara agung Pratama,Bogor,2 hari yang lalu
E-Commerce Data Analyst (Talent Pool),Future Commerce Indonesia,Jakarta Utara,Rp 8.000.000 – Rp 12.000.000 per month,2 hari yang lalu,8000000.0,12000000.0,10000000.0,Future Commerce Indonesia,Jakarta Utara,2 hari yang lalu
Data Engineer,PT Biznet Gio Nusantara,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu,,,,PT Biznet Gio Nusantara,Jakarta Raya,2 hari yang lalu
Data Engineer,Biznet Data,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu,,,,Biznet Data,Jakarta Raya,2 hari yang lalu
Operations Support,Plexicus,Sleman,"Rp 6,000,000 – Rp 9,000,000 per month",2 hari yang lalu,,,,Plexicus,Sleman,2 hari yang lalu
Marketing Specialist,FIFGROUP Cab Sragen,Sragen,Gaji tidak disebutkan,2 hari yang lalu,,,,FIFGROUP Cab Sragen,Sragen,2 hari yang lalu
Computer Vision Engineer (C/C++),PT Alfabeta Solusi Nusantara,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu,,,,PT Alfabeta Solusi Nusantara,Jakarta Raya,2 hari yang lalu
IOT Developer - Kalimantan Timur (Mining Industry),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Berau,Gaji tidak disebutkan,2 hari yang lalu,,,,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Berau,2 hari yang lalu
IoT Developer for Mining Industry,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Kalimantan Utara,Rp 4.000.000 – Rp 6.000.000 per month,2 hari yang lalu,4000000.0,6000000.0,5000000.0,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Kalimantan Utara,2 hari yang lalu
Data Analyst Staff,PT Global Retailindo Pratama (Minimart ),Denpasar,Gaji tidak disebutkan,2 hari yang lalu,,,,PT Global Retailindo Pratama (Minimart ),Denpasar,2 hari yang lalu
Data Analyst | Gramedia,Kompas Gramedia - KG Media,Kalideres,Gaji tidak disebutkan,2 hari yang lalu,,,,Kompas Gramedia - KG Media,Kalideres,2 hari yang lalu
Trader / Market Analyst (Forex/Crypto),PT. Indo Inovasi Teknologi,Bali,Rp 4.500.000 – Rp 6.500.000 per month,2 hari yang lalu,4500000.0,6500000.0,5500000.0,PT. Indo Inovasi Teknologi,Bali,2 hari yang lalu
Business Intelligence,Altius Hospital,Jakarta Barat,Gaji tidak disebutkan,2 hari yang lalu,,,,Altius Hospital,Jakarta Barat,2 hari yang lalu
Data Analyst Staff,PT Mazuta Bima Tek,Surabaya,Gaji tidak disebutkan,2 hari yang lalu,,,,PT Mazuta Bima Tek,Surabaya,2 hari yang lalu
Data Analyst,PT Cerdas Digital Nusantara,Kecamatan Tangerang,Gaji tidak disebutkan,2 hari yang lalu,,,,PT Cerdas Digital Nusantara,Kecamatan Tangerang,2 hari yang lalu
Enterprise Data AI Architect,Macquarie Group,Indonesia,Gaji tidak disebutkan,2 hari yang lalu,,,,Macquarie Group,Indonesia,2 hari yang lalu
Deep Learning Researcher - AI Programmer,"FinShot, Inc.",Jakarta Raya,Rp 8.000.000 – Rp 11.000.000 per month,2 hari yang lalu,8000000.0,11000000.0,9500000.0,"FinShot, Inc.",Jakarta Raya,2 hari yang lalu
AI & Data Scientist (FMCG -  Contract Based),PT. Berca Hardayaperkasa,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu,,,,PT. Berca Hardayaperkasa,Jakarta Raya,2 hari yang lalu
Data Architect (GCP),PT Nityo Infotech,Jakarta Pusat,Gaji tidak disebutkan,2 hari yang lalu,,,,PT Nityo Infotech,Jakarta Pusat,2 hari yang lalu
Admin Data HRD,Bebek Carok,Malang,Gaji tidak disebutkan,2 hari yang lalu,,,,Bebek Carok,Malang,2 hari yang lalu
Medior/Senior Data Engineer (Web Scrapping),NucleusX B.V,Denpasar Selatan,Rp 12.000.000 – Rp 18.000.000 per month,2 hari yang lalu,12000000.0,18000000.0,15000000.0,NucleusX B.V,Denpasar Selatan,2 hari yang lalu
Senior Data Engineer,PT. LOTTE INNOVATE INDONESIA,Cilegon,Gaji tidak disebutkan,2 hari yang lalu,,,,PT. LOTTE INNOVATE INDONESIA,Cilegon,2 hari yang lalu
Senior AI Engineer,PT. LOTTE INNOVATE INDONESIA,Cilegon,Gaji tidak disebutkan,2 hari yang lalu,,,,PT. LOTTE INNOVATE INDONESIA,Cilegon,2 hari yang lalu
Master Data Analyst,PT Amman Mineral Nusa Tenggara,Sumbawa Barat,Gaji tidak disebutkan,2 hari yang lalu,,,,PT Amman Mineral Nusa Tenggara,Sumbawa Barat,2 hari yang lalu
PDCA,PT Batik Sukses Sejahtera,Cirebon,Rp 2.800.000 – Rp 3.300.000 per month,2 hari yang lalu,2800000.0,3300000.0,3050000.0,PT Batik Sukses Sejahtera,Cirebon,2 hari yang lalu
Data Engineer,Catalyst,Kebayoran Lama,Gaji tidak disebutkan,2 hari yang lalu,,,,Catalyst,Kebayoran Lama,2 hari yang lalu
Actuarial Pricing and Portfolio Monitoring,PT Chubb General Insurance Indonesia,Indonesia,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Chubb General Insurance Indonesia,Indonesia,3 hari yang lalu
PMO Administrator,Datalec Precision Installations Pte Ltd,Batam,Gaji tidak disebutkan,3 hari yang lalu,,,,Datalec Precision Installations Pte Ltd,Batam,3 hari yang lalu
Data Specialist - Jakarta,Xiaomi Technology,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu,,,,Xiaomi Technology,Jakarta Raya,3 hari yang lalu
BI Platform Engineer - Data Dev (Loc: Jakarta Utara),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu,,,,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,3 hari yang lalu
Cloud & Endpoint Security Administrator,PT Simplify Consulting Indonesia,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Simplify Consulting Indonesia,Jakarta Raya,3 hari yang lalu
Data & System Integration Specialist,PT Hikari Indo Sarana,Jakarta Barat,Rp 7.500.000 – Rp 9.000.000 per month,3 hari yang lalu,7500000.0,9000000.0,8250000.0,PT Hikari Indo Sarana,Jakarta Barat,3 hari yang lalu
Data & AI Engineer,PT Mastersystem Infotama,Kemayoran,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Mastersystem Infotama,Kemayoran,3 hari yang lalu
Position,"PT Summarecon Agung, Tbk",Kecamatan Tangerang,Gaji tidak disebutkan,3 hari yang lalu,,,,"PT Summarecon Agung, Tbk",Kecamatan Tangerang,3 hari yang lalu
DATA ANALYST STAFF,"PT Delta Giri Wacana, Tbk.",Jakarta Utara,Gaji tidak disebutkan,3 hari yang lalu,,,,"PT Delta Giri Wacana, Tbk.",Jakarta Utara,3 hari yang lalu
ETL Developer,PT Appfuxion Consulting,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Appfuxion Consulting,Jakarta Raya,3 hari yang lalu
AI Automation & Systems Specialist,PT Seneco Group Indonesia,Bali,Rp 8.000.000 – Rp 12.000.000 per month,3 hari yang lalu,8000000.0,12000000.0,10000000.0,PT Seneco Group Indonesia,Bali,3 hari yang lalu
Data Engineer,"PT Japfa Comfeed Indonesia, Tbk",Surabaya,Gaji tidak disebutkan,3 hari yang lalu,,,,"PT Japfa Comfeed Indonesia, Tbk",Surabaya,3 hari yang lalu
DATA ANALYST,PT Asuransi Jiwa Syariah Al Amin,Jakarta Raya,Rp 6.000.000 – Rp 6.500.000 per month,3 hari yang lalu,6000000.0,6500000.0,6250000.0,PT Asuransi Jiwa Syariah Al Amin,Jakarta Raya,3 hari yang lalu
"Strategy, Data & Reporting Analyst",PT Bolttech Device Protection Indonesia” (“bolttech”),Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Bolttech Device Protection Indonesia” (“bolttech”),Jakarta Raya,3 hari yang lalu
Data Analitics,PT Kinarya Alihdaya Mandiri,Jakarta Selatan,Rp 5.700.000 – Rp 7.000.000 per month,3 hari yang lalu,5700000.0,7000000.0,6350000.0,PT Kinarya Alihdaya Mandiri,Jakarta Selatan,3 hari yang lalu
Data Analytics Manager,PT Fliptech Lentera Inspirasi Pertiwi,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Fliptech Lentera Inspirasi Pertiwi,Jakarta Raya,3 hari yang lalu
Data Engineer Lead,PT Fliptech Lentera Inspirasi Pertiwi,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Fliptech Lentera Inspirasi Pertiwi,Jakarta Raya,3 hari yang lalu
