Posisi,Perusahaan,Lokasi,Gaji,Waktu,min_Gajian,max_Gajian,avg_Gajian,Nama_Perusahaan,kota_Kerja,Time
PERFORMANCE ANALYSIS MANAGER,Pengiklan Anonim,Jakarta Raya,Rp 15.000.000 – Rp 20.000.000 per month,5 hari yang lalu,15000000.0,20000000.0,17500000.0,Pengiklan Anonim,Jakarta Raya,5 hari yang lalu
Data Engineer,PT Digdaya Duta Digital,Setiabudi,Gaji tidak disebutkan,5 hari yang lalu,,,,PT Digdaya Duta Digital,Setiabudi,5 hari yang lalu
Senior DWH DBA Engineer,PT Home Credit Indonesia,Jakarta Selatan,Gaji tidak disebutkan,5 hari yang lalu,,,,PT Home Credit Indonesia,Jakarta Selatan,5 hari yang lalu
AI Engineer,PT Digdaya Duta Digital,Setiabudi,Gaji tidak disebutkan,5 hari yang lalu,,,,PT Digdaya Duta Digital,Setiabudi,5 hari yang lalu
Product Owner,PT Digdaya Duta Digital,Setiabudi,Gaji tidak disebutkan,5 hari yang lalu,,,,PT Digdaya Duta Digital,Setiabudi,5 hari yang lalu
Lead Engineer,PT Digdaya Duta Digital,Setiabudi,Gaji tidak disebutkan,5 hari yang lalu,,,,PT Digdaya Duta Digital,Setiabudi,5 hari yang lalu
Artificial Intelligence Engineer,PT Macbramindo Harum Abadi,Tangerang,Gaji tidak disebutkan,5 hari yang lalu,,,,PT Macbramindo Harum Abadi,Tangerang,5 hari yang lalu
Analisis Bioinformatika,Institut Teknologi Del,Toba Samosir,Gaji tidak disebutkan,5 hari yang lalu,,,,Institut Teknologi Del,Toba Samosir,5 hari yang lalu
Growth Operations Analyst / Data Analyst,PT. Rupa Aestetika Teknologi Aktual (RATA),Kebayoran Lama,Gaji tidak disebutkan,5 hari yang lalu,,,,PT. Rupa Aestetika Teknologi Aktual (RATA),Kebayoran Lama,5 hari yang lalu
Data Analyst,PT. Solusi Jasa Teknologi,Tangerang,Rp 7.000.000 – Rp 8.000.000 per month,5 hari yang lalu,7000000.0,8000000.0,7500000.0,PT. Solusi Jasa Teknologi,Tangerang,5 hari yang lalu
AI Engineer Internship,OPPO Indonesia,Tangerang,Rp 3.000.000 per month,5 hari yang lalu,3000000.0,3000000.0,3000000.0,OPPO Indonesia,Tangerang,5 hari yang lalu
AI Engineer,PT Graha Karya Informasi,Jakarta Pusat,Rp 13.000.000 – Rp 18.000.000 per month,5 hari yang lalu,13000000.0,18000000.0,15500000.0,PT Graha Karya Informasi,Jakarta Pusat,5 hari yang lalu
Data Engineer,PT Graha Karya Informasi,Jakarta Raya,Rp 10.000.000 – Rp 13.000.000 per month,5 hari yang lalu,10000000.0,13000000.0,11500000.0,PT Graha Karya Informasi,Jakarta Raya,5 hari yang lalu
System Analyst,PT. Youzan International Indonesia,Jakarta Barat,Gaji tidak disebutkan,6 hari yang lalu,,,,PT. Youzan International Indonesia,Jakarta Barat,6 hari yang lalu
LSMPA Data Analyst,Konservasi Indonesia,Kebayoran Lama,Gaji tidak disebutkan,6 hari yang lalu,,,,Konservasi Indonesia,Kebayoran Lama,6 hari yang lalu
Statistic Clerk,PT.Elecmetal Longteng Indonesia,Kabupaten Batang,Gaji tidak disebutkan,6 hari yang lalu,,,,PT.Elecmetal Longteng Indonesia,Kabupaten Batang,6 hari yang lalu
Supervisor Data Analyst Marketing,PT Nissin Foods Indonesia,Jakarta Selatan,Gaji tidak disebutkan,6 hari yang lalu,,,,PT Nissin Foods Indonesia,Jakarta Selatan,6 hari yang lalu
PRODUCT DATA SPECIALIST,CV.KARYA PRATAMA PERKASA,Denpasar Utara,Rp 3.500.000 – Rp 5.000.000 per month,7 hari yang lalu,3500000.0,5000000.0,4250000.0,CV.KARYA PRATAMA PERKASA,Denpasar Utara,7 hari yang lalu
Sales Data Analyst,PT Arta Boga Cemerlang,Surakarta,"Rp 2,500,000 – Rp 3,000,000 per month",7 hari yang lalu,,,,PT Arta Boga Cemerlang,Surakarta,7 hari yang lalu
AI Sales Lead / Solution Lead – Banking (AI & GenAI),PT Simplify Consulting Indonesia,Jakarta Raya,Gaji tidak disebutkan,7 hari yang lalu,,,,PT Simplify Consulting Indonesia,Jakarta Raya,7 hari yang lalu
Analisis Data Spesialist platform Mandarin Speaker,PT. Zhisheng Pacific Trading (Mixue),Jakarta Raya,Rp 10.000.000 – Rp 15.000.000 per month,7 hari yang lalu,10000000.0,15000000.0,12500000.0,PT. Zhisheng Pacific Trading (Mixue),Jakarta Raya,7 hari yang lalu
SALES DATA ANALYST STAFF,FA Merak,Jawa Barat,Gaji tidak disebutkan,7 hari yang lalu,,,,FA Merak,Jawa Barat,7 hari yang lalu
STRATEGIC PLANNING OFFICER,PT Maritim Barito Perkasa (Adaro Logistics Group),Jakarta Raya,Gaji tidak disebutkan,8 hari yang lalu,,,,PT Maritim Barito Perkasa (Adaro Logistics Group),Jakarta Raya,8 hari yang lalu
DATA ANALAYST (FRAUD MONITORING),PT Karya Solusi Prima Sejahtera,Tangerang,Rp 4.500.000 – Rp 5.100.000 per month,8 hari yang lalu,4500000.0,5100000.0,4800000.0,PT Karya Solusi Prima Sejahtera,Tangerang,8 hari yang lalu
Business Analyst (AI Optimization),VisionTech Pte. Ltd,Jakarta Raya,"Rp 10,000,000 – Rp 15,000,000 per month",8 hari yang lalu,,,,VisionTech Pte. Ltd,Jakarta Raya,8 hari yang lalu
Business Intelligence,Deliveree (PT Angkut Teknologi Indonesia),Jakarta Raya,Gaji tidak disebutkan,8 hari yang lalu,,,,Deliveree (PT Angkut Teknologi Indonesia),Jakarta Raya,8 hari yang lalu
Data Support Spv - Consumer Good,Pengiklan Anonim,Jakarta Raya,Rp 6.000.000 – Rp 9.000.000 per month,8 hari yang lalu,6000000.0,9000000.0,7500000.0,Pengiklan Anonim,Jakarta Raya,8 hari yang lalu
DATA ANALYST,PT Alun Indah,Jakarta Raya,Gaji tidak disebutkan,8 hari yang lalu,,,,PT Alun Indah,Jakarta Raya,8 hari yang lalu
Data Scientist,PT Sisindokom Lintasbuana,Jakarta Pusat,Gaji tidak disebutkan,8 hari yang lalu,,,,PT Sisindokom Lintasbuana,Jakarta Pusat,8 hari yang lalu
Sensory Analyst,PT Nojorono Tobacco International,Kudus Kota,Gaji tidak disebutkan,8 hari yang lalu,,,,PT Nojorono Tobacco International,Kudus Kota,8 hari yang lalu
Data Analyst President's Office Officer,Yayasan Bina Nusantara,Tangerang,Gaji tidak disebutkan,8 hari yang lalu,,,,Yayasan Bina Nusantara,Tangerang,8 hari yang lalu
DATA ANALIS,MIKALINDO BAKTI CEMERLANG,Jakarta Barat,"Rp 6,000,000 – Rp 7,000,000 per month",8 hari yang lalu,,,,MIKALINDO BAKTI CEMERLANG,Jakarta Barat,8 hari yang lalu
Data Center Architect,PT. RJGF International Indonesia,Jakarta Raya,Gaji tidak disebutkan,8 hari yang lalu,,,,PT. RJGF International Indonesia,Jakarta Raya,8 hari yang lalu
Supply Chain Management & Data Analytics Manager,PT Mitra Berlian Unggas,Bandung,Gaji tidak disebutkan,8 hari yang lalu,,,,PT Mitra Berlian Unggas,Bandung,8 hari yang lalu
Production Data & Planning Officer - Layer Commercial,PT Mitra Berlian Unggas,Bandung,Gaji tidak disebutkan,8 hari yang lalu,,,,PT Mitra Berlian Unggas,Bandung,8 hari yang lalu
MIS Developer,PT Indocyber Global Teknologi,Jakarta Raya,Gaji tidak disebutkan,8 hari yang lalu,,,,PT Indocyber Global Teknologi,Jakarta Raya,8 hari yang lalu
Data Analyst,PT Ratna Asia,Surabaya,Gaji tidak disebutkan,8 hari yang lalu,,,,PT Ratna Asia,Surabaya,8 hari yang lalu
AI Engineer,TUNTUN SEKURITAS INDONESIA,Jakarta Utara,Gaji tidak disebutkan,8 hari yang lalu,,,,TUNTUN SEKURITAS INDONESIA,Jakarta Utara,8 hari yang lalu
Data Engineer,TUNTUN SEKURITAS INDONESIA,Jakarta Utara,Gaji tidak disebutkan,8 hari yang lalu,,,,TUNTUN SEKURITAS INDONESIA,Jakarta Utara,8 hari yang lalu
Data Scientist,"PT. Metrodata Electronics, Tbk",Kalideres,Gaji tidak disebutkan,8 hari yang lalu,,,,"PT. Metrodata Electronics, Tbk",Kalideres,8 hari yang lalu
22. IT BUSINESS APPLICATION,PT Yamaha Motor Electronics Indonesia,Pulo Gadung,Gaji tidak disebutkan,8 hari yang lalu,,,,PT Yamaha Motor Electronics Indonesia,Pulo Gadung,8 hari yang lalu
Data Analyst,PT. MAX AUTO INDONESIA,Semarang,Gaji tidak disebutkan,8 hari yang lalu,,,,PT. MAX AUTO INDONESIA,Semarang,8 hari yang lalu
Artificial Intelligence Manager,PT. TRANSNOVASI BANGUN PERSADA,Jakarta Timur,Gaji tidak disebutkan,8 hari yang lalu,,,,PT. TRANSNOVASI BANGUN PERSADA,Jakarta Timur,8 hari yang lalu
Data Support Project Intern (GBS ID Agency) - 2026 Start (BS/MS),TIKTOK PTE LTD (TIKTOK),Jakarta Utara,Gaji tidak disebutkan,9 hari yang lalu,,,,TIKTOK PTE LTD (TIKTOK),Jakarta Utara,9 hari yang lalu
Pricing Analyst,PT Luxehouze Group Indonesia,Jakarta Raya,Gaji tidak disebutkan,9 hari yang lalu,,,,PT Luxehouze Group Indonesia,Jakarta Raya,9 hari yang lalu
Data Engineer,PT Binajasa Sumber Sarana (BSS Recruitment),Jakarta Selatan,Rp 6.000.000 – Rp 6.250.000 per month,9 hari yang lalu,6000000.0,6250000.0,6125000.0,PT Binajasa Sumber Sarana (BSS Recruitment),Jakarta Selatan,9 hari yang lalu
Executive - Data Analyst || Finance Platform Solution,Macquarie Group,Indonesia,Gaji tidak disebutkan,9 hari yang lalu,,,,Macquarie Group,Indonesia,9 hari yang lalu
Data Analytic Outsource (12 months),PT Asuransi Allianz Life Indonesia,Jakarta Raya,Gaji tidak disebutkan,9 hari yang lalu,,,,PT Asuransi Allianz Life Indonesia,Jakarta Raya,9 hari yang lalu
System Analyst,PT Tri Digital Perkasa (Volantis Technology),DI Yogyakarta,Gaji tidak disebutkan,9 hari yang lalu,,,,PT Tri Digital Perkasa (Volantis Technology),DI Yogyakarta,9 hari yang lalu
Data Analyst Staff,PT Lintas Semesta,Tangerang,Gaji tidak disebutkan,9 hari yang lalu,,,,PT Lintas Semesta,Tangerang,9 hari yang lalu
Business Analyst Staff,Indofood Group,Kebayoran Lama,Gaji tidak disebutkan,9 hari yang lalu,,,,Indofood Group,Kebayoran Lama,9 hari yang lalu
AI Project Management Officer - SPX Express,Shopee Internasional Indonesia,Jakarta Raya,Gaji tidak disebutkan,9 hari yang lalu,,,,Shopee Internasional Indonesia,Jakarta Raya,9 hari yang lalu
Data Collection Officer,PT Suracojaya Abadimotor (Makassar),Makassar,Rp 4.150.000 per month,9 hari yang lalu,4150000.0,4150000.0,4150000.0,PT Suracojaya Abadimotor (Makassar),Makassar,9 hari yang lalu
Supervisor Data Analyst & Supply Chain (Retail Fashion),Blessindo (Bandung),Cimahi,Rp 6.500.000 – Rp 9.000.000 per month,9 hari yang lalu,6500000.0,9000000.0,7750000.0,Blessindo (Bandung),Cimahi,9 hari yang lalu
Data Analyst,PT Global Yimi Cargo (J&T Cargo),Makassar,Gaji tidak disebutkan,9 hari yang lalu,,,,PT Global Yimi Cargo (J&T Cargo),Makassar,9 hari yang lalu
Junior AI & Data Engineer,PT Solusi Prima Packaging,Tangerang Selatan,Gaji tidak disebutkan,9 hari yang lalu,,,,PT Solusi Prima Packaging,Tangerang Selatan,9 hari yang lalu
Product & Market Intelligence Staf,PT Venamon,Bandung,Rp 6.000.000 – Rp 9.000.000 per month,9 hari yang lalu,6000000.0,9000000.0,7500000.0,PT Venamon,Bandung,9 hari yang lalu
Operation Analyst and Data Reconciliation,PT Mitra Kasih Perkasa,Semarang,Gaji tidak disebutkan,9 hari yang lalu,,,,PT Mitra Kasih Perkasa,Semarang,9 hari yang lalu
Asst Marketing Data & Insight Manager,Kawan Lama Group,Jakarta Raya,Gaji tidak disebutkan,9 hari yang lalu,,,,Kawan Lama Group,Jakarta Raya,9 hari yang lalu
Azure AI Engineer - Indonesia,CLaaS2SaaS,Jakarta Raya,"Rp 12,000,000 – Rp 14,000,000 per month",9 hari yang lalu,,,,CLaaS2SaaS,Jakarta Raya,9 hari yang lalu
Mathematics IGCSE,Prime One School,Medan,Gaji tidak disebutkan,9 hari yang lalu,,,,Prime One School,Medan,9 hari yang lalu
Senior Data Scientist,PT PEFINDO Biro Kredit,Jakarta Selatan,Gaji tidak disebutkan,9 hari yang lalu,,,,PT PEFINDO Biro Kredit,Jakarta Selatan,9 hari yang lalu
Senior Data and Security Engineer,Macquarie Group,Indonesia,Gaji tidak disebutkan,9 hari yang lalu,,,,Macquarie Group,Indonesia,9 hari yang lalu
Product Manager,PT Babat Alas Solusi,Kecamatan Tangerang,Gaji tidak disebutkan,10 hari yang lalu,,,,PT Babat Alas Solusi,Kecamatan Tangerang,10 hari yang lalu
Market Research - Data Analyst Media Advertising OOH,Devis Jaya,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu,,,,Devis Jaya,Jakarta Raya,10 hari yang lalu
Secretary to Director (Personal Assistant),Pengiklan Anonim,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu,,,,Pengiklan Anonim,Jakarta Raya,10 hari yang lalu
Senior Research Manager,Ravenry,Jakarta Selatan,"Rp 18,000,000 – Rp 27,000,000 per month",10 hari yang lalu,,,,Ravenry,Jakarta Selatan,10 hari yang lalu
Data Scientist Intern,PT CRIF Lembaga Informasi Keuangan,Setiabudi,Gaji tidak disebutkan,10 hari yang lalu,,,,PT CRIF Lembaga Informasi Keuangan,Setiabudi,10 hari yang lalu
Market Data Contracts Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,10 hari yang lalu,,,,Macquarie Group,Indonesia,10 hari yang lalu
PRODUCT SYSTEM IMPLEMENTATION ANALYST,PT Intrias Mandiri Sejati,Jakarta Raya,Rp 8.500.000 – Rp 9.000.000 per month,10 hari yang lalu,8500000.0,9000000.0,8750000.0,PT Intrias Mandiri Sejati,Jakarta Raya,10 hari yang lalu
ML/AI Engineer,PT. Skyshi Digital Indonesia,Yogyakarta,Gaji tidak disebutkan,10 hari yang lalu,,,,PT. Skyshi Digital Indonesia,Yogyakarta,10 hari yang lalu
Business Development Intern,PT Tawada Healthcare,Jakarta Barat,Gaji tidak disebutkan,10 hari yang lalu,,,,PT Tawada Healthcare,Jakarta Barat,10 hari yang lalu
Supervisor Data Analyst,PT Multirasa Nusantara (YOSHINOYA Japanese Restaurant),Jakarta Selatan,Gaji tidak disebutkan,10 hari yang lalu,,,,PT Multirasa Nusantara (YOSHINOYA Japanese Restaurant),Jakarta Selatan,10 hari yang lalu
IT Product Analyst,PT. TEMAS TBK,Jakarta Utara,Gaji tidak disebutkan,10 hari yang lalu,,,,PT. TEMAS TBK,Jakarta Utara,10 hari yang lalu
Data Engineer Intern,PT AJAIB TTX Solusi (jakarta),Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu,,,,PT AJAIB TTX Solusi (jakarta),Jakarta Raya,10 hari yang lalu
Senior Data Engineer,PT Satu Dental Indonesia,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu,,,,PT Satu Dental Indonesia,Jakarta Raya,10 hari yang lalu
Business Intelligence,PT Teknologi Medika Pratama,Jakarta Pusat,Gaji tidak disebutkan,10 hari yang lalu,,,,PT Teknologi Medika Pratama,Jakarta Pusat,10 hari yang lalu
Sales Admin / Support,PT Data Labs Analytics,Jakarta Pusat,Gaji tidak disebutkan,10 hari yang lalu,,,,PT Data Labs Analytics,Jakarta Pusat,10 hari yang lalu
IT Database Engineer,PT Catur Sentosa Adiprana Tbk,Jakarta Barat,Gaji tidak disebutkan,10 hari yang lalu,,,,PT Catur Sentosa Adiprana Tbk,Jakarta Barat,10 hari yang lalu
Operations & Data Analyst Executive,PT.X-motors Internasional Group,Jakarta Utara,Gaji tidak disebutkan,10 hari yang lalu,,,,PT.X-motors Internasional Group,Jakarta Utara,10 hari yang lalu
Data Analyst Agronomy (Perkebunan Kelapa Sawit),Pengiklan Anonim,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu,,,,Pengiklan Anonim,Jakarta Raya,10 hari yang lalu
Data Scientist,ParagonCorp,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu,,,,ParagonCorp,Jakarta Raya,10 hari yang lalu
Operational Business Analyst,Cartrack Technologies Indonesia,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu,,,,Cartrack Technologies Indonesia,Jakarta Raya,10 hari yang lalu
Production Engineer (Master Data/Data Analyst),SCG,Karawang,Gaji tidak disebutkan,10 hari yang lalu,,,,SCG,Karawang,10 hari yang lalu
Data Analyst,CV Nio Utaman,Banjarmasin,Rp 3.500.000 – Rp 4.000.000 per month,10 hari yang lalu,3500000.0,4000000.0,3750000.0,CV Nio Utaman,Banjarmasin,10 hari yang lalu
Data Engineering Officer,Pengiklan Anonim,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu,,,,Pengiklan Anonim,Jakarta Raya,10 hari yang lalu
Data Analyst / Data Analis,PT. BPR Artha Karya Perdana,Samarinda Kota,Gaji tidak disebutkan,10 hari yang lalu,,,,PT. BPR Artha Karya Perdana,Samarinda Kota,10 hari yang lalu
Senior Data Engineer,PT Intikom Berlian Mustika - Talent Acquisition,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu,,,,PT Intikom Berlian Mustika - Talent Acquisition,Jakarta Raya,10 hari yang lalu
Software Engineer - AI Engineering & Assurance,Macquarie Group,Indonesia,Gaji tidak disebutkan,10 hari yang lalu,,,,Macquarie Group,Indonesia,10 hari yang lalu
HC Analyst / Human Capital Data Analyst,PT. Era Blu Elektronik,Jakarta Barat,Gaji tidak disebutkan,11 hari yang lalu,,,,PT. Era Blu Elektronik,Jakarta Barat,11 hari yang lalu
Data Entry IT Garment,FAJARINDO,Kabupaten Bandung,Rp 3.000.000 – Rp 4.000.000 per month,11 hari yang lalu,3000000.0,4000000.0,3500000.0,FAJARINDO,Kabupaten Bandung,11 hari yang lalu
Data Analyst Sales,Altius Hospital,Jakarta Barat,Gaji tidak disebutkan,11 hari yang lalu,,,,Altius Hospital,Jakarta Barat,11 hari yang lalu
Data Analyst Manager (Lippo Mall Head Office),PT Lippo Malls Indonesia,Jakarta Barat,Gaji tidak disebutkan,11 hari yang lalu,,,,PT Lippo Malls Indonesia,Jakarta Barat,11 hari yang lalu
Data Engineer,PT Enseval Putera Megatrading Tbk,Jakarta Timur,Gaji tidak disebutkan,11 hari yang lalu,,,,PT Enseval Putera Megatrading Tbk,Jakarta Timur,11 hari yang lalu
ENDP _IT Data System Engineer Of HSE Mining (Location: Kalsel),Pengiklan Anonim,Kalimantan Selatan,Gaji tidak disebutkan,11 hari yang lalu,,,,Pengiklan Anonim,Kalimantan Selatan,11 hari yang lalu
Full Stack Engineer - (Audio & Interaction) | AI Lab,The Economist Group (Asia/Pacific) Limited,Bandung,Gaji tidak disebutkan,11 hari yang lalu,,,,The Economist Group (Asia/Pacific) Limited,Bandung,11 hari yang lalu
Data Engineer,Cloud Kinetics Technology Sdn Bhd,Jakarta Raya,Gaji tidak disebutkan,11 hari yang lalu,,,,Cloud Kinetics Technology Sdn Bhd,Jakarta Raya,11 hari yang lalu
AI Engineer,PT Swadharma Duta Data,Jakarta Raya,Gaji tidak disebutkan,11 hari yang lalu,,,,PT Swadharma Duta Data,Jakarta Raya,11 hari yang lalu
Mathematics and Science Teacher (For AY 2026/2027),Yayasan Auliya Insan Utama (Sekolah Islam Terpadu AULIYA),Tangerang Selatan,Gaji tidak disebutkan,11 hari yang lalu,,,,Yayasan Auliya Insan Utama (Sekolah Islam Terpadu AULIYA),Tangerang Selatan,11 hari yang lalu
RBI DATA ANALYST,PT Indospec Asia,Jakarta Raya,Gaji tidak disebutkan,11 hari yang lalu,,,,PT Indospec Asia,Jakarta Raya,11 hari yang lalu
Data Analist,PT Riodi Jaya,Medan,Gaji tidak disebutkan,11 hari yang lalu,,,,PT Riodi Jaya,Medan,11 hari yang lalu
Reporting & Data Analyst Staff,PT SOS Indonesia,Jakarta Raya,Gaji tidak disebutkan,11 hari yang lalu,,,,PT SOS Indonesia,Jakarta Raya,11 hari yang lalu
Datawarehouse Analyst,PT Eka Mas Republik,Tangerang,Gaji tidak disebutkan,11 hari yang lalu,,,,PT Eka Mas Republik,Tangerang,11 hari yang lalu
Applied AI Specialist,merakota,Bandung,Rp 4.500.000 – Rp 6.000.000 per month,11 hari yang lalu,4500000.0,6000000.0,5250000.0,merakota,Bandung,11 hari yang lalu
Power BI Developer (Analytics Engineer),Mataram Consultancy,Jakarta Raya,Rp 10.000.000 – Rp 15.000.000 per month,11 hari yang lalu,10000000.0,15000000.0,12500000.0,Mataram Consultancy,Jakarta Raya,11 hari yang lalu
Senior Data Engineer,Halodoc,Jakarta Selatan,Gaji tidak disebutkan,11 hari yang lalu,,,,Halodoc,Jakarta Selatan,11 hari yang lalu
AI RPA Developer (Intelligent Automation),Mataram Consultancy,Jakarta Raya,Rp 8.000.000 – Rp 12.000.000 per month,11 hari yang lalu,8000000.0,12000000.0,10000000.0,Mataram Consultancy,Jakarta Raya,11 hari yang lalu
[276] Junior Data Engineer,Binary Academy,Kebayoran Lama,Gaji tidak disebutkan,11 hari yang lalu,,,,Binary Academy,Kebayoran Lama,11 hari yang lalu
Data Engineer,PT Mandiri International Technology,Jakarta Raya,Gaji tidak disebutkan,11 hari yang lalu,,,,PT Mandiri International Technology,Jakarta Raya,11 hari yang lalu
Lead Data Scientist - Big Data and Modelling,Indodana,Jakarta Raya,Gaji tidak disebutkan,11 hari yang lalu,,,,Indodana,Jakarta Raya,11 hari yang lalu
Management Accounting (Data Analysis),PT Global Jet Express,Jakarta Utara,Gaji tidak disebutkan,11 hari yang lalu,,,,PT Global Jet Express,Jakarta Utara,11 hari yang lalu
Senior Database Administration (IT) Officer,PT Matahari Kahuripan Indonesia (Makin Group),Jakarta Barat,Rp 9.500.000 – Rp 11.000.000 per month,11 hari yang lalu,9500000.0,11000000.0,10250000.0,PT Matahari Kahuripan Indonesia (Makin Group),Jakarta Barat,11 hari yang lalu
Finance Data Analyst,Pengiklan Anonim,Balikpapan,Gaji tidak disebutkan,11 hari yang lalu,,,,Pengiklan Anonim,Balikpapan,11 hari yang lalu
Admin (Business Development),PT Sisindokom Lintasbuana,Jakarta Pusat,Gaji tidak disebutkan,11 hari yang lalu,,,,PT Sisindokom Lintasbuana,Jakarta Pusat,11 hari yang lalu
Senior Database Analyst,PT Bank Perekonomian Rakyat Danamas,Surabaya,Rp 7.000.000 – Rp 9.000.000 per month,11 hari yang lalu,7000000.0,9000000.0,8000000.0,PT Bank Perekonomian Rakyat Danamas,Surabaya,11 hari yang lalu
Machine Learning Engineer,Code.id,Kebayoran Lama,Gaji tidak disebutkan,11 hari yang lalu,,,,Code.id,Kebayoran Lama,11 hari yang lalu
Data Scientist,Erajaya Group,Jakarta Raya,Gaji tidak disebutkan,11 hari yang lalu,,,,Erajaya Group,Jakarta Raya,11 hari yang lalu
Data Governance Manager,Macquarie Group,Indonesia,Gaji tidak disebutkan,11 hari yang lalu,,,,Macquarie Group,Indonesia,11 hari yang lalu
Data Engineer,PT Murni Development Indonesia,Kalideres,Gaji tidak disebutkan,12 hari yang lalu,,,,PT Murni Development Indonesia,Kalideres,12 hari yang lalu
Early Careers - Digital Technology,PT Schlumberger Geophysics Nusantara,Indonesia,Gaji tidak disebutkan,12 hari yang lalu,,,,PT Schlumberger Geophysics Nusantara,Indonesia,12 hari yang lalu
Early Careers - Geoscience&Petrotechnical,PT Schlumberger Geophysics Nusantara,Indonesia,Gaji tidak disebutkan,12 hari yang lalu,,,,PT Schlumberger Geophysics Nusantara,Indonesia,12 hari yang lalu
Digital Technology Internship,PT Schlumberger Geophysics Nusantara,Indonesia,Gaji tidak disebutkan,12 hari yang lalu,,,,PT Schlumberger Geophysics Nusantara,Indonesia,12 hari yang lalu
Data Architect,PT Murni Development Indonesia,Kalideres,Gaji tidak disebutkan,12 hari yang lalu,,,,PT Murni Development Indonesia,Kalideres,12 hari yang lalu
Sistem Analis,Prima Land Cozy Kos,Malang,Gaji tidak disebutkan,12 hari yang lalu,,,,Prima Land Cozy Kos,Malang,12 hari yang lalu
Faculty Member Statistics and Business Mathematics - SATU University @ Pontianak,Yayasan Bina Nusantara,Pontianak Barat,Gaji tidak disebutkan,12 hari yang lalu,,,,Yayasan Bina Nusantara,Pontianak Barat,12 hari yang lalu
Lead AI Engineer,PT Simplify Consulting Indonesia,Jakarta Selatan,Gaji tidak disebutkan,12 hari yang lalu,,,,PT Simplify Consulting Indonesia,Jakarta Selatan,12 hari yang lalu
Data Analyst,Indofood Group,Kebayoran Lama,Gaji tidak disebutkan,12 hari yang lalu,,,,Indofood Group,Kebayoran Lama,12 hari yang lalu
Transformation Office Internship (Data Analyst),PT Tunas Ridean,Pasar Minggu,Gaji tidak disebutkan,12 hari yang lalu,,,,PT Tunas Ridean,Pasar Minggu,12 hari yang lalu
Statistical Staff 统计员专员,PT Indo Fudong Konstruksi,Jakarta Pusat,Rp 6.000.000 – Rp 8.000.000 per month,12 hari yang lalu,6000000.0,8000000.0,7000000.0,PT Indo Fudong Konstruksi,Jakarta Pusat,12 hari yang lalu
Operational Data Support,PT Global Retailindo Pratama (Minimart ),Denpasar,Gaji tidak disebutkan,12 hari yang lalu,,,,PT Global Retailindo Pratama (Minimart ),Denpasar,12 hari yang lalu
Biopharmaceutical DI(Data Integrity) Specialist,PT SKPLASMA CORE INDONESIA,Karawang,Gaji tidak disebutkan,12 hari yang lalu,,,,PT SKPLASMA CORE INDONESIA,Karawang,12 hari yang lalu
Operation Data Support Manager,PT. AEON Indonesia,Tangerang,Gaji tidak disebutkan,12 hari yang lalu,,,,PT. AEON Indonesia,Tangerang,12 hari yang lalu
PT. Dirgaputra Ekapratama,PT. Dirgaputra Ekapratama,Jakarta Raya,Gaji tidak disebutkan,12 hari yang lalu,,,,PT. Dirgaputra Ekapratama,Jakarta Raya,12 hari yang lalu
Data Engineer,PT Indocyber Global Teknologi,Jakarta Raya,Gaji tidak disebutkan,12 hari yang lalu,,,,PT Indocyber Global Teknologi,Jakarta Raya,12 hari yang lalu
Data Analyst,"PT Allo Bank Indonesia, Tbk",Jakarta Raya,Gaji tidak disebutkan,12 hari yang lalu,,,,"PT Allo Bank Indonesia, Tbk",Jakarta Raya,12 hari yang lalu
Jr. Product Manager,IlmuOne Data,Kemayoran,Gaji tidak disebutkan,12 hari yang lalu,,,,IlmuOne Data,Kemayoran,12 hari yang lalu
Weather Analytics and Forecasting,PT Pasifik Satelit Nusantara,Jakarta Selatan,Gaji tidak disebutkan,12 hari yang lalu,,,,PT Pasifik Satelit Nusantara,Jakarta Selatan,12 hari yang lalu
Business Analyst,Ivaro Furniture,Tangerang,Rp 7.000.000 – Rp 10.000.000 per month,12 hari yang lalu,7000000.0,10000000.0,8500000.0,Ivaro Furniture,Tangerang,12 hari yang lalu
Phyton AI Automation Engineer,RemoHires,Jakarta Raya,Rp 6.000.000 – Rp 7.000.000 per month,13 hari yang lalu,6000000.0,7000000.0,6500000.0,RemoHires,Jakarta Raya,13 hari yang lalu
Senior Software Engineering,Karunia Prima Nastari (KPN CORP.),Jakarta Selatan,Gaji tidak disebutkan,13 hari yang lalu,,,,Karunia Prima Nastari (KPN CORP.),Jakarta Selatan,13 hari yang lalu
AI Transformation Manager,PT Asthanesia Global Investama,Bogor,Gaji tidak disebutkan,13 hari yang lalu,,,,PT Asthanesia Global Investama,Bogor,13 hari yang lalu
